år,indikator,verdi,kjelde
2011,AHO_registrerte_totalt,565,DBH tab 123
2012,AHO_registrerte_totalt,618,DBH tab 123
2013,AHO_registrerte_totalt,615,DBH tab 123
2014,AHO_registrerte_totalt,641,DBH tab 123
2015,AHO_registrerte_totalt,659,DBH tab 123
2016,AHO_registrerte_totalt,634,DBH tab 123
2017,AHO_registrerte_totalt,666,DBH tab 123
2018,AHO_registrerte_totalt,670,DBH tab 123
2019,AHO_registrerte_totalt,726,DBH tab 123
2020,AHO_registrerte_totalt,798,DBH tab 123
2021,AHO_registrerte_totalt,809,DBH tab 123
2022,AHO_registrerte_totalt,829,DBH tab 123
2023,AHO_registrerte_totalt,844,DBH tab 123
2024,AHO_registrerte_totalt,888,DBH tab 123
2025,AHO_registrerte_totalt,892,DBH tab 123
2011,Design_registrerte_totalt,147,DBH tab 123
2012,Design_registrerte_totalt,149,DBH tab 123
2013,Design_registrerte_totalt,150,DBH tab 123
2014,Design_registrerte_totalt,160,DBH tab 123
2015,Design_registrerte_totalt,170,DBH tab 123
2016,Design_registrerte_totalt,171,DBH tab 123
2017,Design_registrerte_totalt,189,DBH tab 123
2018,Design_registrerte_totalt,172,DBH tab 123
2019,Design_registrerte_totalt,184,DBH tab 123
2020,Design_registrerte_totalt,218,DBH tab 123
2021,Design_registrerte_totalt,259,DBH tab 123
2022,Design_registrerte_totalt,280,DBH tab 123
2023,Design_registrerte_totalt,288,DBH tab 123
2024,Design_registrerte_totalt,285,DBH tab 123
2025,Design_registrerte_totalt,266,DBH tab 123
2017,MASTERID_mott_studiestart,33,DBH tab 379
2018,MASTERID_mott_studiestart,30,DBH tab 379
2019,MASTERID_mott_studiestart,32,DBH tab 379
2020,MASTERID_mott_studiestart,59,DBH tab 379
2021,MASTERID_mott_studiestart,59,DBH tab 379
2022,MASTERID_mott_studiestart,60,DBH tab 379
2023,MASTERID_mott_studiestart,31,DBH tab 379
2024,MASTERID_mott_studiestart,40,DBH tab 379
2025,MASTERID_mott_studiestart,35,DBH tab 379
2019,MASTERDES_2aarig_mott,NA,DBH tab 379
2024,MASTERDES_2aarig_mott,0,DBH tab 379
2025,MASTERDES_2aarig_mott,0,DBH tab 379
2011,Design_kandidatar_totalt,26,DBH tab 104
2020,Design_kandidatar_totalt,44,DBH tab 104
2024,Design_kandidatar_totalt,63,DBH tab 104
2025,Design_kandidatar_totalt,56,DBH tab 104
