type,filename,dokid,datokode,tittel,korttittel,departement,etat,rettsomraade,i_kraft,siste_endring_i_kraft,sist_endret_ved,publisert_i,gjelder_for,siste_rettelse,refid,url
lov,nl-16870415-000.xml,NL/lov/1687-04-15,LOV-1687-04-15,Kong Christian Den Femtis Norske Lov,Norske Lov - NL,Justis- og beredskapsdepartementet,,"Anskaffelser, avtaler, bygg og entrepriser > Avtaler",,2023-07-01,lov/2023-06-16-40 fra 2023-07-01,,,"2021-07-01 (faglige noter fjernet, struktur)",lov/1687-04-15,https://lovdata.no/lov/1687-04-15
lov,nl-17410217-000.xml,NL/lov/1741-02-17,LOV-1741-02-17,Forbud paa Vimpel-Føring,Forbud paa Vimpel-føring,Utenriksdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Forsvaret Transport og kommunikasjoner > Skipsfart",,,,,,2021-06-21 (struktur),lov/1741-02-17,https://lovdata.no/lov/1741-02-17
lov,nl-17511002-000.xml,NL/lov/1751-10-02,LOV-1751-10-02,Første Codicill og Tillæg til Grendse-Tractaten imellem Kongerigerne Norge og Sverrig Lapperne betreffende (Lappekodisillen),Lappekodisillen,Landbruks- og matdepartementet,,"Landbruk, jakt og skogbruk > Reindrift Stats-, statsforfatnings- og statsborgerrett > Grenser Samerett > Reindrift",,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,"2021-08-25 (faglige fotnoter fjernet, struktur)",lov/1751-10-02,https://lovdata.no/lov/1751-10-02
lov,nl-17750608-000.xml,NL/lov/1775-06-08,LOV-1775-06-08,Kongelig Resolution ang. Jorddelingen i Finmarken samt Bopladses Udvisning og Skyldlægning sammesteds,Res. anggående jorddelingen i Finmark m.v.,Nærings- og fiskeridepartementet,,"Fiskeri- og fangstrett og havbruk > Fiskeri Landbruk, jakt og skogbruk > Jakt og innlandsfiske",,,,,,2021-10-01 (rettet dato),lov/1775-06-08,https://lovdata.no/lov/1775-06-08
lov,nl-18120225-000.xml,NL/lov/1812-02-25,LOV-1812-02-25,Cancelli-Promemoria,Prom. ang. Territorial Grænse,Utenriksdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Grenser",,2004-01-01,lov/2003-06-27-57 fra 2004-01-01,,,,lov/1812-02-25,https://lovdata.no/lov/1812-02-25
lov,nl-18140517-000-nn.xml,NL/lov/1814-05-17,LOV-1814-05-17,Kongeriket Noregs grunnlov,Grunnlova (nynorsk) - Grl.,Justis- og beredskapsdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Grunnloven Stats-, statsforfatnings- og statsborgerrett > Stortinget",,2024-05-21,forskrift/2024-06-07-928 fra 2024-05-21,,,"2021-07-01 (faglige noter fjernet, UU-tilpasset)",lov/1814-05-17,https://lovdata.no/lov/1814-05-17
lov,nl-18140517-000.xml,NL/lov/1814-05-17,LOV-1814-05-17,Kongeriket Norges Grunnlov,Grunnloven (bokmål) - Grl.,Justis- og beredskapsdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Grunnloven Stats-, statsforfatnings- og statsborgerrett > Stortinget",,2024-05-21,forskrift/2024-06-07-928 fra 2024-05-21,,,"2021-07-01 (faglige noter fjernet, UU-tilpasset)",lov/1814-05-17,https://lovdata.no/lov/1814-05-17
lov,nl-18450607-000.xml,NL/lov/1845-06-07,LOV-1845-06-07,Lov om Perlefiskeriet,Lov om Perlefiskeriet,Klima- og miljødepartementet,,Fiskeri- og fangstrett og havbruk > Fiskeri,,,,,,,lov/1845-06-07,https://lovdata.no/lov/1845-06-07
lov,nl-18840614-003.xml,NL/lov/1884-06-14-3,LOV-1884-06-14-3,Lov om beskyttelse av undersjøiske kabler og rørledninger utenfor sjøterritoriet,Lov om undersjøiske kabler,Digitaliserings- og forvaltningsdepartementet,,"IKT- og medierett > Telekommunikasjon Stats-, statsforfatnings- og statsborgerrett > Grenser",,2008-07-01,lov/2005-01-07-2 fra 2008-07-01,,,2024-01-01 (ansvarlig departement),lov/1884-06-14-3,https://lovdata.no/lov/1884-06-14-3
lov,nl-18880623-003.xml,NL/lov/1888-06-23-3,LOV-1888-06-23-3,Lov indeholdende særlige Bestemmelser angaaende Leilændingsgods tilhørende Stamhuse og visse Stiftelser m.v.,Lov om Leilendingsgods tilhørende Stamhus,Nærings- og fiskeridepartementet,,"Selskaper, fond og foreninger > Stiftelser/legater og foreninger",,1996-06-07,lov/1996-06-07-33,,,2021-09-09 (faglige fotnoter fjernet),lov/1888-06-23-3,https://lovdata.no/lov/1888-06-23-3
lov,nl-18930720-002.xml,NL/lov/1893-07-20-2,LOV-1893-07-20-2,Lov om Stranding og Vrag [vrakloven],Vrakloven,Justis- og beredskapsdepartementet,,Transport og kommunikasjoner > Skipsfart,1894-07-01,2023-01-01,lov/2022-03-11-8 fra 2023-01-01,,,"2021-08-26 (faglige fotnoter fjernet, struktur)",lov/1893-07-20-2,https://lovdata.no/lov/1893-07-20-2
lov,nl-18940721-005.xml,NL/lov/1894-07-21-5,LOV-1894-07-21-5,Lov om delvis Omordning af det civile Embedsværk,Lov om Omordning af det civile Embedsverk,Justis- og beredskapsdepartementet,,Arbeidsrett > Offentlige tjenestemenn,,2008-01-01,"lov/2005-06-17-67 fra 2008-01-01, lov/2004-06-25-53 fra 2006-01-01",,,2024-12-12 (tekst til § 2 og § 9 tilføyd selv om ikke har betydning nå),lov/1894-07-21-5,https://lovdata.no/lov/1894-07-21-5
lov,nl-18970803-002.xml,NL/lov/1897-08-03-2,LOV-1897-08-03-2,"Lov om særlige Straffebestemmelser m.v. for Personer, som i Henhold til Grundlovens § 75 h indkaldes til at møde for Storthinget",Lov om møteplikt til Stortinget,Justis- og beredskapsdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Utenrikstjenesten",1897-08-03,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,"2021-09-28 (faglige fotnoter fjernet, struktur)",lov/1897-08-03-2,https://lovdata.no/lov/1897-08-03-2
lov,nl-18981210-001.xml,NL/lov/1898-12-10-1,LOV-1898-12-10-1,Lov om Norges Flag [flaggloven],Flaggloven,Utenriksdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Statsforfatningen",1899-12-16,,,,,2023-09-13 (rettet dato for ikrafttredelse),lov/1898-12-10-1,https://lovdata.no/lov/1898-12-10-1
lov,nl-19010529-006.xml,NL/lov/1901-05-29-6,LOV-1901-05-29-6,Lov om forskjellige forhold vedkommende Røros Kobberverks Skogvæsen,Lov om Røros Kobberverks Skogvæsen,Klima- og miljødepartementet,,"Landbruk, jakt og skogbruk > Skogbruk",1901-07-01,,,,,"2021-06-21 (faglige noter fjernet, struktur)",lov/1901-05-29-6,https://lovdata.no/lov/1901-05-29-6
lov,nl-19020522-013.xml,NL/lov/1902-05-22-13,LOV-1902-05-22-13,Militær Straffelov,Militær Straffelov - milstrl,Justis- og beredskapsdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Forsvaret Strafferett > Utenfor straffeloven > Militær strafferett",,2024-07-01,"lov/2023-11-24-84 fra 2024-07-01, lov/2023-12-20-110 fra 2024-05-24",,,"2023-05-12 (§ 9, struktur)",lov/1902-05-22-13,https://lovdata.no/lov/1902-05-22-13
lov,nl-19090323-000.xml,NL/lov/1909-03-23,LOV-1909-03-23,Instruks for Regjeringen,Regjeringsinstruksen,Statsministerens kontor,,"Stats-, statsforfatnings- og statsborgerrett > Statsforfatningen",,,,,,"2021-08-26 (faglige fotnoter fjernet, struktur)",lov/1909-03-23,https://lovdata.no/lov/1909-03-23
lov,nl-19150813-005.xml,NL/lov/1915-08-13-5,LOV-1915-08-13-5,Lov om domstolene (domstolloven),Domstolloven - dl,Justis- og beredskapsdepartementet,,Sivil- og straffeprosess > Domstolloven,1927-07-01,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,2022-04-25 (tegnsetting i lister tilpasset universell utforming),lov/1915-08-13-5,https://lovdata.no/lov/1915-08-13-5
lov,nl-19160317-000.xml,NL/lov/1916-03-17,LOV-1916-03-17,Lov om straffebestemmelser for utenlandske militærpersoner som er internert her i riket under krig mellem fremmede magter,Lov om straff for internerte militære,Justis- og beredskapsdepartementet,,"Strafferett > Utenfor straffeloven Stats-, statsforfatnings- og statsborgerrett > Forsvaret Strafferett > Utenfor straffeloven > Militær strafferett",1916-03-17,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,"2021-09-28 (faglige fotnoter fjernet, struktur)",lov/1916-03-17,https://lovdata.no/lov/1916-03-17
lov,nl-19160630-001.xml,NL/lov/1916-06-30-1,LOV-1916-06-30-1,Lov om kommisjon (kommisjonsloven),Kommisjonsloven - kml,Justis- og beredskapsdepartementet,,Næringsrett > Handel og tjenester,,2002-07-01,lov/2002-06-21-34 fra 2002-07-01,,,"2021-08-19 (faglige fotnoter fjernet, struktur)",lov/1916-06-30-1,https://lovdata.no/lov/1916-06-30-1
lov,nl-19160721-002.xml,NL/lov/1916-07-21-2,LOV-1916-07-21-2,Lov om vidners og sakkyndiges godtgjørelse m.v.,Lov om vidners og sakkyndiges godtgjørelse,Justis- og beredskapsdepartementet,,Sivil- og straffeprosess > Domstolloven,1927-07-01,2022-07-01,lov/2021-06-18-122 fra 2022-07-01,,,"2021-08-26 (faglige fotnoter fjernet, struktur)",lov/1916-07-21-2,https://lovdata.no/lov/1916-07-21-2
lov,nl-19170601-001.xml,NL/lov/1917-06-01-1,LOV-1917-06-01-1,Lov om skjønn og ekspropriasjonssaker [skjønnsprosessloven],Skjønnsprosessloven - skjl,Justis- og beredskapsdepartementet,,Fast eiendoms rettsforhold > Ekspropriasjon Fast eiendoms rettsforhold > Skjønn,1927-07-01,2024-05-24,lov/2023-12-20-110 fra 2024-05-24,,,"2021-07-01 (faglige fotnoter fjernet, struktur, UU-tilpasset)",lov/1917-06-01-1,https://lovdata.no/lov/1917-06-01-1
lov,nl-19171214-016.xml,NL/lov/1917-12-14-16,LOV-1917-12-14-16,Lov om konsesjon for rettigheter til vannfall mv. (vannfallrettighetsloven),Vannfallrettighetsloven,Energidepartementet,,"Energirett > Elektrisitetsproduksjon og -forsyning Energirett > Vannkraft Miljøvern, natur og friluftsliv > Vannressurser Selskaper, fond og foreninger > Selskaper. Statsforetak",1917-12-14,2026-01-01,lov/2025-04-10-9 fra 2026-01-01,,,2024-01-01 (ansvarlig departement),lov/1917-12-14-16,https://lovdata.no/lov/1917-12-14-16
lov,nl-19171214-017.xml,NL/lov/1917-12-14-17,LOV-1917-12-14-17,Lov om regulering og kraftutbygging i vassdrag (vassdragsreguleringsloven),Vassdragsreguleringsloven - vregl,Energidepartementet,,"Energirett > Elektrisitetsproduksjon og -forsyning Energirett > Vannkraft Miljøvern, natur og friluftsliv > Naturmangfold/naturfredning",1917-12-14,2024-07-01,lov/2024-03-22-12 fra 2024-07-01,,,2024-01-01 (ansvarlig departement),lov/1917-12-14-17,https://lovdata.no/lov/1917-12-14-17
lov,nl-19180531-004.xml,NL/lov/1918-05-31-4,LOV-1918-05-31-4,"Lov om avslutning av avtaler, om fuldmagt og om ugyldige viljeserklæringer [avtaleloven]",Avtaleloven - avtl,Justis- og beredskapsdepartementet,,"Anskaffelser, avtaler, bygg og entrepriser > Avtaler",1918-07-03,2026-01-01,lov/2025-06-20-106 fra 2026-01-01,,,2023-06-15 (EØS-informasjon),lov/1918-05-31-4,https://lovdata.no/lov/1918-05-31-4
lov,nl-19180814-002.xml,NL/lov/1918-08-14-2,LOV-1918-08-14-2,Lov om utdrag i sivile saker og straffesaker [rettsutdragsloven],Rettsutdragsloven,Justis- og beredskapsdepartementet,,Sivil- og straffeprosess > Domstolloven Sivil- og straffeprosess > Straffeprosess/straffeprosessloven,1927-07-01,2008-01-01,"lov/2005-06-17-90 fra 2008-01-01, lov/2001-12-14-98 fra 2002-01-01",,,"2021-08-31 (faglige fotnoter fjernet, struktur)",lov/1918-08-14-2,https://lovdata.no/lov/1918-08-14-2
lov,nl-19180814-003.xml,NL/lov/1918-08-14-3,LOV-1918-08-14-3,Lov om frivillige auksjoner [auksjonsloven],Auksjonsloven,Justis- og beredskapsdepartementet,,Næringsrett > Handel og tjenester,1927-07-01,2006-01-01,lov/2004-06-25-53 fra 2006-01-01,,,"2021-08-31 (faglige fotnoter fjernet, struktur)",lov/1918-08-14-3,https://lovdata.no/lov/1918-08-14-3
lov,nl-19180814-004.xml,NL/lov/1918-08-14-4,LOV-1918-08-14-4,Lov om rettergangsordningens ikrafttræden,Rettergangsordningens ikrafttrædelseslov,Justis- og beredskapsdepartementet,,Sivil- og straffeprosess > Sivilprosess/tvisteloven,1927-07-01,2008-01-01,"lov/2005-06-17-90 fra 2008-01-01, lov/2002-04-26-12 fra 2002-07-01",,,"2021-09-09 (faglige fotnoter fjernet, struktur)",lov/1918-08-14-4,https://lovdata.no/lov/1918-08-14-4
lov,nl-19200209-000.xml,NL/lov/1920-02-09,LOV-1920-02-09,"Traktat mellem Norge, Amerikas Forente Stater, Danmark, Frankrike, Italia, Japan, Nederlandene, Storbritannia og Irland og de britiske oversjøiske besiddelser og Sverige angående Spitsbergen [Svalbardtraktaten]",Svalbardtraktaten,Utenriksdepartementet,,Svalbard og biland > Generelt,1925-08-14,,,,,2022-04-28 (tegnsetting i lister tilpasset universell utforming),lov/1920-02-09,https://lovdata.no/lov/1920-02-09
lov,nl-19210513-002.xml,NL/lov/1921-05-13-2,LOV-1921-05-13-2,Lov om Kongens myndighetsalder,Lov om Kongens myndighetsalder,Justis- og beredskapsdepartementet,,"Stats-, statsforfatnings- og statsborgerrett > Kongehuset",,1979-06-08,lov/1979-06-08-38,,,"2021-09-28 (faglige fotnoter fjernet, struktur)",lov/1921-05-13-2,https://lovdata.no/lov/1921-05-13-2
lov,nl-19240613-004.xml,NL/lov/1924-06-13-4,LOV-1924-06-13-4,Lov om adgang for staten til utferdigelse av premieobligasjonslån,Lov om statens premieobligasjonslån,Finansdepartementet,,"Bank, finans og regnskapsrett > Obligasjoner Kultur, idrett og underholdning > Lotteri. Pengespill. Innsamlinger",1924-06-13,2023-01-01,lov/2022-03-18-12 fra 2023-01-01,,,"2021-09-28 (faglige fotnoter fjernet, struktur)",lov/1924-06-13-4,https://lovdata.no/lov/1924-06-13-4
lov,nl-19250717-011.xml,NL/lov/1925-07-17-11,LOV-1925-07-17-11,Lov om Svalbard [Svalbardloven],Svalbardloven - svalbl,Justis- og beredskapsdepartementet,,Svalbard og biland > Generelt Svalbard og biland > Lokalstyre,1925-08-14,2023-08-25,"lov/2019-05-24-17 fra 2023-08-25, lov/2023-06-02-21 fra 2023-07-01",,,2022-04-28 (tegnsetting i lister tilpasset universell utforming),lov/1925-07-17-11,https://lovdata.no/lov/1925-07-17-11
lov,nl-19250717-002.xml,NL/lov/1925-07-17-2,LOV-1925-07-17-2,"Lov om avgift av kull, jordoljer og andre mineraler og bergarter som utføres fra Svalbard",Lov om avgift av kull m.v. fra Svalbard,Justis- og beredskapsdepartementet,,Næringsrett > Bergverk. Mineraler. Muting Næringsrett > Inn- og utførsel Skatte- og avgiftsrett Svalbard og biland > Generelt,1925-07-17,2020-11-01,lov/2019-12-20-86 fra 2020-11-01,,,"2021-09-09 (faglige fotnoter fjernet, struktur)",lov/1925-07-17-2,https://lovdata.no/lov/1925-07-17-2
lov,nl-19250807-000.xml,NL/lov/1925-08-07,LOV-1925-08-07,Bergverksordning for Svalbard,Bergverksordning for Svalbard,Nærings- og fiskeridepartementet,,Næringsrett > Bergverk. Mineraler. Muting Svalbard og biland > Generelt,1925-08-14,1992-08-28,forskrift/1992-08-28-634,,,"2021-08-24 (faglige fotnoter fjernet, struktur)",lov/1925-08-07,https://lovdata.no/lov/1925-08-07
